school,2003-2007,modeled 2013-2017,actual 2013-2017,relative difference
Whitman College,135,102.27501181260956,70,0.6844291558553469
North Carolina Central University,135,138.92184149401103,95,0.6838377535046963
Rutgers University-New Brunswick,1328,1221.2059108799638,834,0.6829315126709836
University of Alaska Fairbanks,68,61.545972347465515,42,0.6824167105994154
Wilkes University,75,70.36222403812701,48,0.6821842353077179
Saint Vincent College,114,107.03596232014375,73,0.6820137682478862
Winona State University,89,94.08365984329778,64,0.6802456463385459
University of Rochester,185,163.28536151963218,111,0.6797914948833562
University of Toledo,182,144.4770406449821,98,0.6783084673004317
Saint Ambrose University,60,53.11011650169602,36,0.6778369616050527
University of Minnesota-Duluth,118,123.49130832869967,83,0.672112079168171
Valparaiso University,101,80.54346292051129,54,0.6704454718229939
Metropolitan State University,61,83.61775614474779,56,0.6697142159980991
Colorado Mesa University,91,118.39578496651473,79,0.6672534839170429
Brigham Young University-Idaho,121,220.54952134424056,147,0.6665169758884121
Alma College,97,79.55506779566616,53,0.6662052018625421
University of North Carolina at Pembroke,98,126.15226863097995,84,0.66586198497719
SUNY Oneonta,181,176.399872385513,117,0.6632657859542122
Illinois Wesleyan University,114,79.91898340432614,53,0.6631715988160458
University of Maine at Farmington,68,51.28481523879502,34,0.6629642681110858
United States Military Academy,349,310.1765115498072,203,0.6544660618745881
Missouri Western State University,100,90.15735423609793,59,0.6544113954974191
University of Alabama at Birmingham,323,301.3264461656756,197,0.653776004419092
University at Buffalo,594,532.9372267693448,348,0.6529849718128518
Western Illinois University,248,191.03146088581994,124,0.6491077408140389
Gonzaga University,205,214.96498767896534,139,0.6466169281836094
Westminster College,56,49.518010515575,32,0.6462295166308221
University of California-San Diego,613,563.7622884812107,364,0.6456622009617297
Le Moyne College,171,142.65420674722662,92,0.6449161374050303
Salisbury University,331,383.09586114882546,247,0.6447472422680265
High Point University,81,89.52450840835985,57,0.6366971571628011
Furman,280,201.1724834698316,128,0.6362699201811824
Macalester College,93,77.06319488307946,49,0.6358417928862535
Missouri University of Science and Technology,87,98.13088232924741,62,0.6318092584959997
University of San Diego,178,129.8262611617796,82,0.6316133520768795
University of Wisconsin-River Falls,104,101.50216349884683,64,0.6305284320439841
Sacred Heart University,102,91.2403046652082,57,0.6247239113147687
Western Oregon University,83,87.08635395482415,54,0.6200741855378672
Athens State University,57,50.41266531158454,31,0.6149248370106783
United States Air Force Academy,233,190.28054049046787,117,0.6148815832581742
Washington and Lee University,204,150.66835666611374,92,0.6106126199005089
The University of Tampa,100,122.81265929399534,74,0.6025437477325114
Coastal Carolina University,226,331.56216646194105,196,0.5911410282164935
West Texas A & M University,87,102.3052598146817,60,0.5864801097097597
Bethel University,69,58.019160064634825,34,0.5860133094330068
